TIPO ATO;ÓRGÃO;Nº;DATA ASSINATURA;EMENTA;DATA DOM;OBSERVAÇÃO;ASSUNTO;LINK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESOLUÇÃO;SMPS / SMASAN;124;22/02/2016;Dispõe sobre o Plano de Aplicação dos recursos do Fundo Municipal dos Direitos da Criança e do Adolescente de Belo Horizonte para o ano de 2016.;01/03/2016;;CONSELHO/FUNDO - CRIANÇA E ADOLESCENTE;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1158737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.240;01/03/2016;"Altera o Decreto nº 14.279/2011 e dá outras providências.
O Prefeito de Belo Horizonte, no exercício de suas atribuições legais, em especial a que lhe confere o inciso VII do art. 108 da Lei Orgânica do Município, e de acordo com o disposto na Lei nº 9.011, de 1º de janeiro de 2005,
DECRETA:";02/03/2016;;ESTRUTURA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1158853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.247;08/03/2016;"Altera o Decreto nº 14.585/2011.
O Prefeito de Belo Horizonte, no exercício de suas atribuições legais, em especial a que lhe confere o inciso VII do art. 108 da Lei Orgânica do Município, e de acordo com o disposto na Lei nº 9.011, de 1º de janeiro de 2005,
DECRETA:";09/03/2016;;ESTRUTURA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;10.917;14/03/2016;Aprova o Plano Municipal de Educação de Belo Horizonte e dá outras providências.;15/03/2016;;EDUCAÇÃO - PLANO MUNICIPAL;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;CTGM/SMPL;001;09/03/2016;Dispõe sobre a composição do grupo de apoio aos gestores dos módulos do Sistema Informatizado de Contas dos Municípios – SICOM objetivando a viabilização do cumprimento do disposto na Resolução nº 07/2011 do Tribunal de Contas do Estado de Minas Gerais.;15/03/2016;;SISTEMA - SICOM;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIENTAÇÃO NORMATIVA;PGM;012;10/03/2016;O Procurador-Geral do Município, no uso da atribuição que lhe confere o art. 114 da Lei Orgânica do Município de Belo Horizonte, art.14 e art. 15, inciso II, da Lei Municipal n.º 9.011/2005 e, em especial, art. 2º e art. 4º do Decreto Municipal n.º 15.256/2013...Considerando o disposto no art. 100, caput e §§ 3º e 4º, da Constituição da República Federativa do Brasil, que estabelece o valor do maior benefício do regime geral de previdência social como patamar mínimo para o pagamento de Requisições de Pequeno Valor – RPV, pelas Fazendas Públicas Federal, Estaduais, Distrital e Municipais,;15/03/2016;;PESSOAL - PREVIDÊNCIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMUNICADO;SMAM/GEORG;007;10/03/2016;Comunica codificações numéricas, nomenclaturas e siglas correspondentes a unidades da estrutura organizacional da Prefeitura Municipal de Belo Horizonte.;17/03/2016;;ESTRUTURA - SIGLAS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SÚMULA;PGM;13;18/03/2016;"O Procurador Geral do Município, no uso das atribuições que lhe confere o artigo 114 da Lei Orgânica, artigos 14 e 15, incisos I e II, da Lei Municipal nº 9.011, de 1º de janeiro de 2005, e artigos 3º e 4º do Decreto Municipal nº 15.256, de 5 de julho de 2013 e,
Tendo em vista a orientação jurisprudencial firmada pela 1ª Seção do Superior Tribunal de Justiça, nos autos do Recurso Especial 1.230.957/RS, afetado a julgamento pela sistemática de recursos repetitivos, relativamente à base de cálculo para fins de desconto da contribuição previdenciária incidente sobre a folha de pagamento de pessoal devida ao Regime Geral de Previdência Social, resolve editar a presente Súmula:";18/03/2016;;PESSOAL - PREVIDÊNCIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;10.918;17/03/2016;Dispõe sobre a criação do Compromisso de Controle e Erradicação da Dengue e dá outras providências.;18/03/2016;;SAÚDE - DENGUE;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;10.919;17/03/2016;Dispõe sobre a oficialização do Festival de Arte Negra e dá outras providências.;18/03/2016;;CULTURA - EVENTOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.254;17/03/2016;Dispõe sobre a administração da frota de veículos oficiais do Município e dá outras providências.;18/03/2016;;ADMINISTRATIVO - VEÍCULOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.258;18/03/2016;Dispõe sobre atos administrativos de realocação de créditos orçamentários e sua publicação na Administração Pública Municipal.;19/03/2016;;ORÇAMENTO - CRÉDITOS ORÇAMENTÁRIOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETIFICAÇÃO PORTARIA;CTGM/SMPL;001;15/03/2016;"Onde se lê:
“O ControladorGeral do Município, no exercício de suas atribuições legais, em especial do art. 3º da Lei nº 9.155, de 12 de janeiro de 2006, juntamente com o Secretário Municipal de Finanças e o Secretário Municipal de Planejamento, Orçamento e Informação,...”;
 
Leia-se:
“O Controlador Geral do Município, no exercício de suas atribuições legais, em especial do art. 3º da Lei nº 9.155, de 12 de janeiro de 2006, juntamente com o Secretário Municipal de Planejamento, Orçamento e Informação,...”.";19/03/2016;;ESTRUTURA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.261;21/03/2016;"Dispõe sobre o processo de ordenamento dos créditos e despesas orçamentárias regionalizadas na Administração Pública Municipal.
";22/03/2016;;ORÇAMENTO - REGIONALIZADO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMGO;6.858;21/03/2016;O Prefeito de Belo Horizonte, no exercício de suas atribuições legais e considerando o Ofício CACS/GAB-SMED/029, por meio do qual o Presidente do Conselho do Fundeb orienta a Secretaria Municipal de Educação a regularizar a composição do Conselho Municipal de Acompanhamento e Controle Social do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação do Município de Belo Horizonte – CACS-FUNDEB BH;22/03/2016;REGULARIZAÇÃO CONSELHO MUNICIPAL EDUCAÇÃO BÁSICA;EDUCAÇÃO - PLANO MUNICIPAL;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1159971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.262;22/03/2016;Altera o Decreto nº 16.095/2015.;23/03/2016;FMMA;CONSELHO/FUNDO - ABASTECIMENTO ALIMENTAR;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;SMD/SMATE;16.263;22/03/2016;"Altera o Decreto nº 14.279/2011 e dá outras providencias.
O Prefeito de Belo Horizonte, no exercício de suas atribuições legais, em especial as que lhe confere o inciso VII do art. 108 da Lei Orgânica do Município,";23/03/2016;PROCON;ESTRUTURA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RELATÓRIO RESUMIDO DA EXECUÇÃO ORÇAMENTÁRIA;;1º Bimestre;17/03/2016;RELATÓRIO RESUMIDO DA EXECUÇÃO ORÇAMENTÁRIA;29/03/2016;;ORÇAMENTO - RELATÓRIO RESUMIDO EXECUÇÃO ORÇAMENTÁRIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.266;28/03/2016;Dispõe sobre delegação de competência para a prática dos atos que menciona e dá outras providências.;29/03/2016;;ORÇAMENTO - DELEGA COMPETÊNCIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA ;SMED/SMPL;001;21/03/2016;"Dispõe sobre a Comissão de Controle de Estoques de Materiais de Consumo da Secretaria Municipal de Educação.
";30/03/2016;MATERIAIS DE CONSUMO;EDUCAÇÃO - ESTOQUE;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEMONSTRAÇÕES CONTÁBEIS;SMF/CGM;S/Nº;31/03/2016;Demonstrações Contábeis de Encerramento do Exercício de 2015;31/03/2015;;ORÇAMENTO - RELATÓRIO RESUMIDO EXECUÇÃO ORÇAMENTÁRIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSTRUÇÃO DE SERVIÇO;SMF/SMAGEA;001;31/03/2016;Dispõe sobre os procedimentos para emissão e envio de documentação para as licitações de aquisição de bens ou serviços para a Gerência de Coordenação de Licitações / SMAGEA.;31/03/2015;;ADMINISTRATIVO - LICITAÇÃO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMUNICADO;SMAM/GEORG;008;23/03/2016;Comunica codificações numéricas, nomenclaturas e siglas correspondentes a unidades da estrutura organizacional da Prefeitura Municipal de Belo Horizonte.;31/03/2016;;ESTRUTURA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMARH;003;30/03/2016;Delega competência aos Gerentes de 2º nível da Secretaria Municipal Adjunta de Recursos Humanos - SMARH.;31/03/2016;;ORÇAMENTO - DELEGA COMPETÊNCIA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMSU;031;29/03/2016;Dispõe sobre a delegação do processo de ordenamento dos créditos e despesas orçamentárias regionalizadas, prevista no Decreto n.º 16.261, de 21 de março de 2016.;31/03/2016;;ORÇAMENTO - REGIONALIZADO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.268;31/03/2016;Dispõe sobre a transferência, a utilização e a prestação de contas de recursos financeiros destinados às Caixas Escolares da Rede Municipal de Educação.;01/04/2016;;EDUCAÇÃO - CAIXAS ESCOLARES;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.
DECRETO;;16.269;31/03/2016;"Altera o Decreto nº 13.643/2009.
O Prefeito de Belo Horizonte, no exercício de suas atribuições legais, em especial a que lhe confere o inciso VII do art. 108 da Lei Orgânica do Município, e em conformidade com a Lei nº 9.011, de 1º de janeiro de 2005,
DECRETA:
Art. 1º - O art. 2º do Decreto nº 13.643, de 17 de julho de 2009, passa a vigorar acrescido dos seguintes incisos XII, XII.1 e XII.2:
“Art. 2º - [...]
[...]
XII - Coordenadoria de Defesa dos Animais:
XII.1 - Gerência de Mobilização e Articulação para a Defesa dos Animais, de 3º Nível;
XII.2 - Gerência de Programas e Projetos para a Defesa dos Animais, de 3º Nível.”. (NR)
";01/04/2016;;MEIO AMBIENTE - DEFESA DOS ANIMAIS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA CONJUNTA;;005;31/03/2016;Orienta sobre as condutas vedadas aos agentes públicos, no âmbito da Administração Pública Direta e Indireta do Município de Belo Horizonte, no período eleitoral do ano de 2016.;01/04/2016;Conduta em campanha eleitoral;ADMINISTRATIVO - PERÍODO ELEITORAL;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;16.272;01/04/2016;"Regulamenta a Lei nº 9.593/2008.
O Prefeito de Belo Horizonte, no exercício de suas atribuições legais, em especial a que lhe confere o inciso VII do art. 108 da Lei Orgânica do Município, e considerando o disposto na Lei Federal nº 12.527, de 18 de novembro de 2011,
DECRETA:";02/01/2016;Informações dos Relatórios;ORÇAMENTO - DESPESAS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;10.921;04/04/2016;"Dispõe sobre a notificação, em casos de violência contra o idoso, aos órgãos que menciona e dá outras providências.
 ";05/04/2016;;DIREITO E CIDADANIA - IDOSO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1160652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
