TIPO ATO;ÓRGÃO;Nº;DATA ASSINATURA;EMENTA;DATA DOM;OBSERVAÇÃO;ASSUNTO;LINK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO;;13.573;20/05/2009;Dispõe sobre a padronização e utilização dos serviços de acesso à Internet e do Correio Eletrônico Oficial dos órgãos e entidades da Administração Direta e Indireta do Poder Executivo;21/05/2009;;ADMINISTRATIVO - INTERNET E REDES SOCIAIS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=997191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROPOSTA DE EMENDA À LEI ORGÂNICA;;4;01/06/2009;Acrescenta a Lei Orgânica do Município de Belo Horizonte o art. 108-A e o parágrafo único aos artigos 125 e 127;04/07/2009;;ORÇAMENTO - LEI ORGÂNICA;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=999758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;8;15/07/2009;Altera a composição dos responsáveis pelo monitoramento do PPAG;15/07/2009;;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1000345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEI;;9.730;17/07/2009;Dispõe sobre as diretrizes para a elaboração da Lei do Orçamento Anual - LOA de 2010 e dá outras providencias;18/07/2009;Ver alteração DOM 31/12/2009;ORÇAMENTO - LDO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1000670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;9;24/07/2009;Designa membros para integrarem a Comissão Permanente de Licitação da Secretaria Municipal de Planejamento, Orçamento e Informação;25/07/2009;;ADMINISTRATIVO - LICITAÇÃO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1000992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;;5.045;29/07/2009;Institui Grupo de Trabalho para apoiar e articular ações destinadas à produção, sistematização e disseminação de indicadores, estatísticas, conhecimentos e informações, relativos à realidade da cidade de Belo Horizonte;30/07/2009;;ORÇAMENTO - ODS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1001264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO ;;13.681;26/08/2009;Define as áreas de resultados e os projetos sustentadores do programa BH Metas e Resultados;27/08/2009;Ver retificação DOM 28/08/2009;ORÇAMENTO - BH METAS E RESULTADOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1003364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;GP;5.058;26/08/2009;Designa os Gerentes dos Projetos Sustentadores;27/08/2009;;ORÇAMENTO - BH METAS E RESULTADOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1003365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECRETO ;;13.681;26/08/2009;Designa os Gerentes dos Projetos Sustentadores;28/08/2009;Retificação;ORÇAMENTO - BH METAS E RESULTADOS;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1003364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTARIA;SMPL;10;17/11/2009;Altera a composição dos responsáveis pelo monitoramento do PPAG;20/11/2009;;ORÇAMENTO - MONITORAMENTO;http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DetalheArtigo&pk=1015590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
